photo_filename,chatgpt_rating,rating
alavara_ece_ocak.png,3,4
alavara_sevgi_siner.png,3,5
alsancak_firin_cenker_goncu.png,4,5
alsancak_firin_elif_gursoy.png,3,4
alsancak_firin_murat_turan.png,4,3
antakya_mutfagi_ali_erdogan.png,5,5
antakya_mutfagi_alp_oguz.png,5,4
antakya_mutfagi_buket_ozkan.png,5,5
anzelha_feyza_yilmaz.png,5,4
anzelha_irfan_esen.png,4,2
anzelha_yunus_emre.png,4,3
askin_tostevi_ali_palamut.png,3,4
askin_tostevi_sema_sabancioglu.png,4,5
askin_tostevi_serhat_gulyuz.png,4,5
asucan_restaurant_cihan_demirkol.png,4,4
asucan_restaurant_melisa_genc.png,4,5
asucan_restaurant_rana_akder.png,4,4
backyard_hasan_basusta.png,4,5
backyard_sebnem_cep.png,5,2
backyard_viviana_kwon.png,5,5
balikci_tanju_muhsin_cakir.png,3,5
balikci_tanju_tarek_diab.png,4,3
balikci_tanju_volkan_aktas.png,4,5
baruthane_pilavcisi_buse_atay.png,3,2
baruthane_pilavcisi_fatih_cicek.png,2,5
baruthane_pilavcisi_selim_ekol.png,3,5
baskent_aspava_burak_ak.png,5,4
baskent_aspava_cagla_arslan.png,4,5
baskent_aspava_ibrahim_genc.png,2,3
baskent_aspava_melike_erdem.png,4,2
berdan_doner_anil_ozler.png,3,5
berdan_doner_arin_onver.png,3,3
berdan_doner_gokhan_demirozer.png,3,5
berdan_doner_ibrahim_saridemir.png,4,3
berdan_doner_volkan_gunay.png,3,4
bilice_alperen_ozturk.png,4,5
bilice_omer_yayla.png,3,5
bogazkoy_restaurant_cemil_erdogan.png,3,5
bogazkoy_restaurant_kadir_yurtlu.png,5,5
bunbun_kas_burak_sengun.png,4,5
bunbun_kas_erdi_ozmen.png,3,4
bunbun_kas_metehan_kilic.png,3,4
cafe_inn_berk_basarir.png,4,5
cafe_inn_hooman_sadati.png,4,1
cafe_inn_zafer_togay.png,3,5
cemo_etliekmek_abdullah_goresim.png,3,1
cemo_etliekmek_birsen_elmali.png,3,2
cemo_etliekmek_hulya_gurbuz.png,3,5
ciya_sofrasi_deniz_miray.png,4,3
ciya_sofrasi_mehmet_tilam.png,3,3
ciya_sofrasi_sumeyye_aydogan.png,4,5
classic_thai_degen_hill.png,3,4
classic_thai_maria_taison.png,3,4
classic_thai_maria_taison.png,3,4
classic_thai_merve_sever.png,4,3
classic_thai_merve_sever.png,4,3
diyarbakir_ocakbasi_palace_burcu_bayrakci.png,4,2
diyarbakir_ocakbasi_palace_burcu_bayrakci.png,4,2
diyarbakir_ocakbasi_palace_muhsin_ates.png,4,5
diyarbakir_ocakbasi_palace_oguz_aslan.png,4,1
diyarbakir_ocakbasi_palace_oguz_aslan.png,4,1
diyarbakir_ocakbasi_palace_omer_emin_dede.png,3,4
diyarbakir_ocakbasi_palace_omer_emin_dede.png,4,4
diyarbakir_ocakbasi_palace_ugur_dagci.png,4,2
fethiye_dondurmacisi_batuhan_kinik.png,5,2
fethiye_dondurmacisi_burak_aydogdu.png,4,5
fethiye_dondurmacisi_semanur_cetin.png,5,4
fethiye_dondurmacisi_yeliz_eker.png,4,5
fethiye_dondurmacisi_zloy_grazhdanin.png,3,1
fikret_balik_restaurant_can_ocakli.png,4,5
fikret_balik_restaurant_hilal_ozden.png,4,4
fikret_balik_restaurant_sefa_dalan.png,3,5
flash_grigory_laputin.png,4,3
flash_grigory_laputin.png,3,3
flash_hilal_kaya.png,4,4
flash_khaled_srin.png,3,5
gold_semaver_ali_bes.png,4,4
gold_semaver_ali_bes.png,5,4
gold_semaver_hakan_tekelioglu.png,4,1
gold_semaver_mehmet_mercan.png,4,3
gold_semaver_mehmet_mercan.png,4,3
gold_semaver_tarik_yuce.png,4,5
gulcimen_aspava_alper_altun.png,4,3
gulcimen_aspava_satilmis_karayalcin.png,4,3
gulcimen_aspava_volkan_kirbiyik.png,4,5
guzel_koy_cafe_cenk_gurdogan.png,4,5
guzel_koy_cafe_ceyda_cicek.png,4,5
guzel_koy_cafe_mehmet_oz.png,4,4
guzel_koy_cafe_onur_aktas.png,4,5
guzel_koy_cafe_teslime_toptas.png,4,5
hacinin_yeri_gulsum_akar.png,3,5
hacinin_yeri_irem_eren.png,3,5
hacinin_yeri_nadia_salim.png,4,5
hacinin_yeri_onur_celebi.png,3,5
hasan_usta_ahmet_alas.png,4,5
hasan_usta_ahmet_demirci.png,4,4
hasan_usta_yildiz_kapidar.png,3,5
imam_cagdas_hakan_unveren.png,4,1
imam_cagdas_muhammet_ikbal.png,4,5
imam_cagdas_yalcin_cohzehir.png,5,2
inegol_restaurant_aysenur_celik.png,3,4
inegol_restaurant_osman_korkmaz.png,4,1
inegol_restaurant_selman_genc.png,4,5
j_burger_cenk_gural.png,3,5
j_burger_ilke_cakmakoglu.png,2,4
j_burger_selen_guler.png,3,3
kadineli_hamza_simsek.png,4,2
kadineli_ismail_arikan.png,4,5
kadineli_selda_latifoglu.png,3,4
kafros_pizzeria_burcu_tosun.png,4,1
kalkanoglu_pilav_faruk_gor.png,4,4
kalkanoglu_pilav_yagmur_akyol.png,4,4
karakoy_lokantasi_alper_uner.png,4,5
karakoy_lokantasi_burak_tuzel.png,4,3
kasikla_restaurant_arda_kacan.png,4,5
kasikla_restaurant_edip_ipek.png,3,5
kasikla_restaurant_gokhan_kement.png,4,4
kasikla_restaurant_sena_arpacioglu.png,4,2
kebabci_halil_usta_ali_okan.png,4,5
kebabci_halil_usta_omer_zade.png,4,5
kebabci_halil_usta_sabri_donmez.png,4,5
kebabci_halil_usta_sayan_badem.png,4,4
kebabci_mahmut_ahmet_yildirim.png,4,5
kebabci_mahmut_ali_selcik.png,4,3
kebabci_mahmut_mahmut_terim.png,4,2
kebabci_mahmut_okan_hosten.png,3,5
kfc_fatma_zullu.png,3,5
kfc_pinar_atici.png,3,3
kfc_resit_cardak.png,3,4
kocak_baklava_mustafa_ay.png,4,4
kocak_baklava_sabahat_yilmaz.png,4,4
kocak_baklava_sadrettin_guner.png,4,5
koco_restaurant_arman_senci.png,3,1
koco_restaurant_mehmet_kaya.png,4,5
